LOAD SYN DATA
>>>Mình tên là Yôl. Còn bạn tên gì?|||Inh măt Yôl. Tơnglơ̆i e măt yưng?<<<
>>>Mình tên là Điêu. Nhà Yôl ở đâu?|||Inh măt Diêu. Hnam e uĕi hăn như?<<<
>>>Nhà mình ở làng Kon Đruch. Còn nhà Điêu ở đâu?|||Hnam inh uĕi pơlĕi Kon Druch. Tơnglơ̆i hnam e uĕi hăn như?<<<
>>>Mình ở làng Kon Hai. Hôm nay mình đi chợ mua quần áo.|||Hnam inh uĕi pơlĕi Kon Hai. Adrơ̆u inh năm tơ chơ̆ ruôt kuơ̆n au.<<<
>>>Hay quá, mình cũng đi chợ. Chúng mình cùng đi nhé!|||Pui adrin, inh kung năm tơ chơ̆. Ba adĭng năm yơh!<<<
>>>Bác ơi, đây là làng gì ạ?|||Ơ nă, 'nơ̆u pơlĕi yưng?<<<
>>>Làng Kon Đruch.|||'Nău pơlĕi Kon Druch.<<<
>>>Nhà ông Nhơn đi đường nào bác?|||Hnam 'bok Nhơn uĕi trong như he?<<<
>>>Đi đường đó, đến câu rẽ trái là đến nhà ông Nhơn.|||Năm trong 'nơ̆u truh dĭ kung weh gah 'meu jơh truh hnam 'bok Nhơn.<<<
>>>Nước đây, các anh uống đi. Các anh đến nhà ông Nhơn có việc gì không?|||'Nău ơ̆u, et kih. Yem năm tơ hnam 'bok Nhơn ơĭ tơdrong yưng?<<<
>>>Tôi gọi ông đến làng Kon Blo cúng làm xong nhà mới ạ.|||Nhơn plơh 'bok Nhơn năm tơ pơlĕi Kon 'Blo sư̆ sơhmah ăn kơ hnam 'nau pơm.<<<
>>>Ông Nhơn đi vắng rồi.|||'Bok Nhơn yơĭ uĕi hnam.<<<
>>>Ông ấy đi Quảng Ngãi thăm bà con, chưa về đâu.|||Hơ năm tơ Kuang Ngai tơmang grung tơpanh đim sưt.<<<
>>>Bác biết chắc như thế không ạ?|||Nă alê̆ tơpă yơh?<<<
>>>Thế thì chúng tôi về đây.|||Tơnglơ̆i nhơn sưt.<<<
>>>Bác biết chắc à?|||Nă alê̆ tơpă yơh?<<<
>>>Như mọi chủ nhật, sáng nay Yôl ngủ dậy muộn. Mặt trời đã lên quá ngọn quế trong vườn. Ở ngoài sân, bố Yôl đang nói chuyện với một người lạ. Yôl hỏi mẹ|||'Năr chu nhơ̆t như kung lơ̆i, bơgê adrơ̆u Yôl 'yung klui. Măt 'năr jơh suôn hluôi wêch kuê̆ lơ̆m mir. Uĕi măng cham, 'bă Yôl atung 'bơ̆l adrĭng minh 'nu bơngai bĭ alê̆. Yôl apinh mĭ<<<
>>>Mẹ ơi, ai đấy?|||Ơ mĭ, bu 'noh?<<<
>>>Đấy là bác Cường. Trước đây, bác ấy đi bộ đội cùng bố.|||'Nơ̆u la nă Kương. Adrol sơ̆, nă 'noh năm bô đôi adrĭng bă.<<<
>>>Bác ấy ở dưới huyện Vĩnh Thạnh.|||Nă 'noh uĕi tơ huên Vinh Thanh.<<<
>>>Yôl cùng mẹ đi ra ngoài sân chào bác Cường|||Yôl adrĭng mĭ năm lêch tơ măng cham chau nă Kương<<<
>>>Cháu tên là Yôl.|||Mon măt Yôl.<<<
>>>Ăn sáng xong, Yôl cùng bố và bác Cường đi thăm nhà rông.|||Sa bơgê hơleh, Yôl adring 'bă weng nă Kương năm tơmang hnam wal.<<<
>>>Hội thoại|||Pơđam 'bơ̆l<<<
>>>Bác Thanh đi đâu sớm thế?|||Nă Thanh năm tơnhư sruôih adrin?<<<
>>>Hôm nào bác cũng dậy từ sáng sớm như thế này à?|||Lanhư nă kung 'yung đưng pơgê sruôih thoi ơ̆u yơh?<<<
>>>Ừ, trừ những hôm trời mưa.|||Ư̆, tuk măng 'năr plĕnh 'mi.<<<
>>>Lát nữa tôi lên họp ở ấy ban xã. Họp xong đi xuống làng Kon Đruch để cùng bà con bàn chuyện làm đường.|||Pă minh 'biê̆ inh năm hop tơ wi 'ban sa. Hop aleh năm jul pơlĕi Kon Druch sơ̆m nă ma tơja pơđam pơm trong.<<<
>>>Nếu trưa nay bác không về thì chập tối mời bác sang nhà tôi uống rượu mừng nhà mới nhé!|||Yăh 'năr dưng nă bĭ đơ̆i sưt tơnglơ̆i kơsơ̆ yưm yưm inh hnhŭk nă năm tơkan hnam inh et sơdrô hưch hanh hnam 'nau!<<<
>>>Ừ, tối tôi đến. Nhưng tôi nói trước, tôi chỉ đến một lúc thôi, tôi không ở đến khuya đâu.|||Ư̆, kơmăng inh truh. Mă lĕi inh akhan adrol inh uĕi minh biê̆ yơh, inh bĭ đơ̆i uĕi truh kơmăng yơh.<<<
>>>Hôm nào bác cũng dậy từ sáng sớm như thế này à?|||La như nă kung 'yung đưng bơgê sruôih thoi ớu yơh?<<<
>>>Gia đình tôi sống ở làng Kon Đruch, xã Vĩnh Sơn, huyện Vĩnh Thạnh. Gia đình tôi có bảy người: bố mẹ tôi, chị gái tôi, ba anh trai tôi và tôi. Bố mẹ tôi đã hơn sáu mươi tuổi. Hiện nay, họ vẫn đi làm rẫy.|||Ŭnh hnam inh arih uĕi pơlĕi Kon Druch, sa Vinh Sơn, huên Vinh Thanh. Ŭnh hnam inh ơĭ tơpơh nu bơngai: 'bă mĭ inh, mai inh, pêng 'nu 'nhŏng inh weng kơ inh. Mĭ 'bă inh jơh gloh tơdrơ̆u jĭt. Ahrĕi ơ̆u, pre hơ arĕ năm pơm mir.<<<
>>>Chị gái tôi hiện là giáo viên trường làng. Chị ấy đã lấy chồng ở làng bên nên thường về thăm nhà. Ba anh trai tôi đang học trường dân tộc nội trú ở dưới huyện Vĩnh Thạnh. Họ thường về thăm nhà vào chủ nhật. Tôi là con út trong gia đình.|||Mai inh ahrĕi ơ̆u la duch pơtho trương pơlĕi. Mai 'noh jơh 'yŏk tơhnglo uĕi pơlĕi jê̆ kơna mai 'noh năm tơmang mĭ 'bă hơ dach. Pêng 'nu 'nhŏng inh atung hok trương kon kông nôĭ tru uĕi tơ huen. Kăn hơ sưt tơmang hnam 'năr chu nhơ̆t dach. Inh la kon uch lơ̆m ŭnh hnam.<<<
